Age,Department,EducationLevel,YearsAtCompany,YearsAtCompany_log,MonthlyIncome,MonthlyIncome_log,JobSatisfaction,PerformanceScore,CompetencyScore,PerformanceVelocity,PotentialGap,TrainingHours,TrainingHours_log,TrainingIntensity,TrainingEfficiency,Cluster
59.0,Finance,2,11.0,2.4849066497880004,14031.0,9.549095714611964,2.0,1.0,4.0,0.08333333333333333,-3.0,43.0,3.784189633918261,3.5833333333333335,0.21818181818181814,0
49.0,HR,3,11.0,2.4849066497880004,7489.0,8.921324076511265,2.0,1.0,2.0,0.08333333333333333,-1.0,79.0,4.382026634673881,6.583333333333333,0.13186813186813187,0
35.0,HR,3,19.0,2.995732273553991,14841.0,9.60521627853008,1.0,5.0,2.0,0.25,3.0,74.0,4.31748811353631,3.7,1.0638297872340425,0
28.0,Engineering,2,5.0,1.791759469228055,11178.0,9.321792297270326,2.0,3.0,5.0,0.5,-2.0,13.0,2.639057329615259,2.1666666666666665,0.9473684210526316,0
41.0,Engineering,3,22.0,3.1354942159291497,11387.0,9.340315448397929,3.0,3.0,1.0,0.13043478260869565,2.0,2.0,1.0986122886681096,0.08695652173913043,2.7600000000000002,1
59.0,Sales,1,3.0,1.3862943611198906,11823.0,9.377886643187983,2.0,2.0,5.0,0.5,-3.0,61.0,4.127134385045092,15.25,0.12307692307692308,2
39.0,Engineering,4,5.0,1.791759469228055,21219.0,9.962699412167973,3.0,3.0,2.0,0.5,1.0,63.0,4.1588830833596715,10.5,0.2608695652173913,0
43.0,Engineering,1,10.0,2.3978952727983707,3076.0,8.031710375322042,3.0,3.0,4.0,0.2727272727272727,-1.0,44.0,3.8066624897703196,4.0,0.6,0
31.0,HR,2,23.0,3.1780538303479458,7997.0,8.986946789406764,5.0,3.0,3.0,0.125,0.0,57.0,4.060443010546419,2.375,0.8888888888888888,0
44.0,Sales,1,22.0,3.1354942159291497,14929.0,9.611127890533236,3.0,4.0,2.0,0.17391304347826086,2.0,49.0,3.912023005428146,2.130434782608696,1.2777777777777777,0
56.0,Operations,2,14.0,2.70805020110221,8686.0,9.06958293425992,3.0,3.0,3.0,0.2,0.0,57.0,4.060443010546419,3.8,0.625,0
44.0,Marketing,2,10.0,2.3978952727983707,17346.0,9.76117485976141,2.0,3.0,3.0,0.2727272727272727,0.0,88.0,4.48863636973214,8.0,0.3333333333333333,0
